Order,Run.Num,Run.Date,Run.Plant,Flower number,Site,Site.Type,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha tirpenene,er.alpha tirpenolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexen 1 ol,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma tirpenene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.naphthalene,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown sesqui,er.veratrole,er.verbenone,N.compounds,
34,146,1-Dec,17,7,SF,One,Cyl,7,0,0,0,0,0,0,0,4.78E-05,4.33E-05,0,0,0,0.00E+00,0.000889625,0.001193459,0,0,0.000130853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003917237,0.0019168,0,0,0.00E+00,0,0.000411662,0,0,0,0,0,0,0.001114791,0.003622603,0,0,0.00E+00,0,0,0,0,10,
35,149,6-Dec,2,6,SF,One,Cyl,13,0.000777451,0,0,0,0,0,7.31E-05,0,0,8.16E-06,0,0,0,0.000958493,0.003599494,0,0.001236372,0.00024465,0,2.86E-05,0,0,0,0,0,0,0,0.002155897,0,0,0,0,0.008297301,0,0,0,0,0,0.000830239,0,0,0,0,0,0.0014194,0.000124318,0.00559526,0,0,0,0,0.000112701,0,0,15,
36,150,6-Dec,3,8,SF,One,Cyl,12,0,0,0,0,0,0,0,5.08E-05,0,0,0,0,0,0.000396005,0.001605778,0,0.00030363,0.000145998,1.66E-05,0,0,0,0,0,0,0.000735178,0,0.000594698,0,0,2.53E-05,0,0.004790344,0,0,0,0,3.49E-05,0.000378909,0,0,0,0,0,0.001215176,0.001015954,0.010282526,0,0,0,0,0,0,0,15,
37,156,6-Dec,9,9,SF,One,Cyl,11,0.000378995,0,0,0,0,0,0,1.11E-05,0,0,0,0,0.00E+00,5.18E-05,0.001927734,0,0.0006129,0.000107257,0.000116496,0,3.41E-05,0,0,0,0,0.00086701,2.67E-05,0.000911484,0,0,1.30E-05,0,0.002545045,0,0,0,0,8.61E-05,0.000403638,0,0,0,0,0,0,0.000519607,0.011362296,0,0,0,0,3.13E-05,0,0,18,
38,170,15-Dec,5,6,SF,One,Cyl,10,0,0,0,0,0,0,0,4.22E-05,0,0,0.000220572,0,0,0.001743527,0.004864908,7.73E-05,0.001075142,0.000191459,0,0,0,0,0,0.001355707,0,0.000663388,0,0.002778158,0,0,2.81E-05,0,0.011116901,0,0,0,0,0,0.000730033,0,0,0,0,0,0.002240215,0.001375871,0.009627706,1.75E-05,0,0,0,5.01E-05,0,0,18,
39,183,12-Jan,10,11,SF,One,Cyl,27,0,0,0,0,0,5.79E-05,0,4.12E-06,0,3.09E-05,0,0,0,0,0.002210969,0,0.000674403,0.000101686,0,1.07E-05,0,0,0,0,0,0.000169098,0,0.0023281,0,0,0,0,0.003405951,0,0,0,0,0,0,0,0,1.85E-05,0,0,0,0.00023524,0.003403312,0,0,0.00E+00,0,0.000144809,0,0,14,
40,187,12-Jan,15,8,SF,One,Cyl,21,0,0,0,0,0,0.000170863,0,5.51E-05,0,0,0,0,0,0,0.00308524,0,0.001173608,0.000264701,0,0,0,0,0,0,0,0.000352712,0,0.000958882,0,0,0,0,0.008388802,0,0,0,0.006264907,0,0.00E+00,0,0,0,0,0,0.003607774,0.001157891,0.00630466,0.000288386,0,0,0,0.000330279,9.58E-05,0,15,
41,188,12-Jan,16,7,SF,One,Cyl,29,0,0,0,0,0,0.000107354,0,0,0,3.92E-05,0,0,0,0,0.001890054,0,0.000764719,0,0,0,0,0,0,0,0,0.000405976,0.000208927,0,0,0,6.41E-05,0,0.007718348,0,0,0,0,0,0.000720229,0,0,0,0,0,0.002252994,0.000367719,0.006851297,7.22E-05,0,0.00E+00,0,0,4.00E-05,0,14,
42,195,13-Jan,2,6,SF,One,Cyl,23,0.0005388,0,0,0,0.000471817,0,0,0,0,0,0,0,0.00E+00,0,0.002025344,0,0.000507269,0,3.38E-05,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0.003898057,6.55E-05,0,0,0,0,0,0,0,0,0,0,0.001357378,0,0,0,0,0,0,0,0,0,8,
43,196,13-Jan,3,7,SF,One,Cyl,28,0.000160093,0,0,0,0.000496104,2.92E-05,0.000113163,0,0,0,0,0,0.00E+00,0,0.002085671,0,0.000338782,1.70E-05,2.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007525398,0.000160172,0,0,0.00E+00,0,0.000418787,0,0,0,0,0,0,0,0.002115941,0,0,0,0,8.27E-05,0,0,13,
44,207,13-Jan,14,6,SF,One,Cyl,25,0.000595875,0,0,0,0.001748602,0,0,0,0,0,0,0,0.000212087,0,0.002137625,0,0.000242311,3.41E-05,0.000120339,0,0,0,0,0,0,0.000549892,0,0.002555191,0,0,0,0,0.004437831,0.000163409,0,0,0,0,0,0,0,0,0,0,0.00125085,0,0.01203044,0,0,0,0,5.40E-06,0.000250185,0,15,
45,285,24-Jan,8,7,SF,One,Cyl,43,0,0,0,0,0.001517944,0.000175569,0,1.37E-05,0,0,0,0,0.00E+00,0,0.004222835,0,0.001111871,0,4.61E-05,0,0,0,0,0.003171157,0,0.000270391,0,0.000441643,0,0,0,0,0.012217038,0,0,0,0,0.000371769,0.000973466,0,0,0,0,0,0,0.000812925,0.004735829,3.52E-05,0,0,0,0.000443003,0,0,16,
46,18,14-Nov,4,6,DVT,Two,Cyl,3,0,0,0,0,0,0,0,0.000118748,0,0,0,0,0,0.000813758,0.000687649,0,3.71E-05,0,9.62E-05,0,0,0,0,0,0,0.000481742,0,0,0,0,0,0,0.003566871,0,0,0,0.001368032,0.000507003,4.49E-05,0,0,0,0,0,0,0,0.013380859,6.17E-05,0,0,0,0,0.00037707,0,13,
47,68,17-Nov,21,6,DVT,Two,Cyl,2,0,0,0,0,0.003108379,0,0.000109938,0,0,0,0,0,0,0.000497454,0.000408246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121862,0.001058649,0.000328168,0,0,0.00E+00,0,4.74E-05,0,0,0,0,0,0.003562084,0.00E+00,0,0,0,0,0,0,4.86E-05,0,10,
48,76,18-Nov,7,7,DVT,Two,Cyl,9,0,0,0,0,0,0,0,6.65E-05,0,0,0,0,0,0.000526547,0.000597352,0,9.84E-05,0.000886663,0,0,0,3.34E-05,0,0,0,0.000119677,0,0.001662368,0,0,0.000186334,0.000144257,0.000775464,0,0,0,0.000430135,0,0.000274296,0,0,0,0,0,0,0,0.002358349,0,0,0,0,0,0.000215387,0,15,
49,119,30-Nov,9,13,DVT,Two,Cyl,10,0.00037706,0,0,0,0.001049137,0,0.000170301,0,0,1.86E-05,0.001015909,0,0,0.00262768,0.000357707,0,0.000166012,0.000306254,0.0043105,0,0,0,0,0.001860627,0,0.00E+00,0,0.001776111,0,8.27E-05,0,0,0.00101463,0.001642533,0,0,0.000778764,0,0,0,0,6.64E-05,0,0,0.00078324,0,0,9.88E-05,0,4.74E-05,0,0,0.000693846,0,21,
50,144,1-Dec,14,6,DVT,Two,Cyl,11,0,0,0,0,0,0,0.000216146,0,2.89E-05,0,0,0,0,0.001468908,4.31E-05,0,0,0.000202546,0.000110599,0,0,0,0,0.006812021,0,0,0,0,0,0,0,0,0.000355421,0.001855031,0,0,0,0,0,0,0.000204339,1.38E-05,0,0,0,0,0,0,0,0,0,0,0.000173419,0,12,
51,145,1-Dec,15,12,DVT,Two,Cyl,8,0,0,0,0,0,0,0,0.000106194,0,0,0,0,0,0.001950614,0.000509211,0,0,2.87E-05,3.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000133229,0.00091375,0.000680881,0,0,0.000180569,0,9.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212431,0,11,
52,163,11-Dec,7,8,DVT,Two,Cyl,7,0,0,0,0,0,0,0,0.002416815,0,4.97E-05,2.38E-05,0,2.20E-05,0.005453709,9.37E-05,0,0,0,0,9.28E-06,0,0.000602344,0,0,0,0.000171148,0,0,0,5.24E-05,0.002753577,0,0.000640884,0,2.16E-05,0,0.000328311,0,4.17E-05,0,0,0,0,0,0.000973311,0.021318805,0.001707405,8.27E-06,0,6.11E-05,0,0,0.000441696,0,21,
53,184,12-Jan,11,11,DVT,Two,Cyl,30,0,0,0,7.97E-05,0,8.55E-05,0.000631649,0.000183814,0,0,0,0,0,0,0.001847781,0,0.000527026,0.000313611,0,0,0,1.45E-06,0,0,0,0.000515892,4.95E-06,0.003318047,0,0,0.001297976,0.000170218,0.00424923,0,0,0,0,0,0.000486,0,0,4.92E-06,0,0,0.000764378,0.002074851,0.013710429,0,0,1.32E-05,0,0.000277602,0.000621874,0,22,
54,189,12-Jan,17,8,DVT,Two,Cyl,22,0,0,1.17E-05,0,0,0,0.000370109,0.000963192,0,0.000194573,0,0,0.000280645,0.006013875,0.000813078,0,0,0.000281517,0,0,0,0.000102613,0,0,0,0.000212922,0,0.002346186,0,0,0.00783407,0.000919861,0.00189712,0,0,0,0,0,7.43E-05,0,0,0,0,0,0.003216865,0.007354916,0,0.000705568,0,0.000262439,0,0,0.000436663,0,20,
55,197,13-Jan,4,6,DVT,Two,Cyl,31,0.000517781,0,0,0,0.003157392,0,0,0,0,0,0,0,1.38E-05,0.00183866,0.00066495,0,0,0.000568803,3.02E-05,0,0,0,0,0,0,0,0,0.000854694,0,0,0,0.000252617,0.002467486,0.000209476,0,0,0,0,0.000104879,0,0,0,0,0,0.001263941,0,0.001922012,0,0,0,0,0,0.000281262,0,15,
56,224,14-Jan,14,6,DVT,Two,Cyl,29,0.000321992,0,0,0,0.000678754,0,0.00023382,3.92E-06,0,0.000223215,0,0,7.00E-06,0.002164154,0,0,3.10E-05,0.000271372,0,0,0,0,0,0,0,0.000347988,0,0.003301072,0,0.000120811,0.00E+00,0,0,0.001269811,0,0,0,0,0,0,0,0.000133895,0,0,0.001088941,0,0.00503214,8.82E-06,0,3.00E-05,0,9.20E-06,0.000391294,0,20,
