Plant,Site,Species,N.fl.N,Mass.fl.N,N.fl.W,Mass.fl.W,Compound,Con.N,Con.N.mass,Con.N.time,Con.N.t.mass,Con.W,Con.W.mass,Con.W.time,Con.W.t.mass,Difference
MCK Ung 15,MCK,Ung,6,0.51186,6,0.51186,cis 3 hexenyl acetate,0.009614875,0.528818125,0.088136354,0.1721884,0.019832375,1.090780625,0.181796771,0.355168935,0.182980535
MCK Ung 16,MCK,Ung,6,0.51186,6,0.51186,cis 3 hexenyl acetate,0.013654375,0.750990625,0.125165104,0.244529958,0.027450875,1.509798125,0.251633021,0.491605168,0.24707521
MCK Ung 17,MCK,Ung,6,0.51186,7,0.59717,cis 3 hexenyl acetate,0.017747375,0.976105625,0.162684271,0.317829624,0.016452875,0.904908125,0.150818021,0.252554584,-0.065275039
MCK Ung 2,MCK,Ung,6,0.51186,7,0.59717,cis 3 hexenyl acetate,0.001643375,0.090385625,0.015064271,0.029430451,0.018705375,1.028795625,0.171465938,0.287130864,0.257700412
MCK Ung 6,MCK,Ung,6,0.51186,6,0.51186,cis 3 hexenyl acetate,0.006103375,0.335685625,0.055947604,0.109302552,0.016070875,0.883898125,0.147316354,0.287805952,0.1785034
MHG Cyl 1,MHG,Cyl,6,0.55452,6,0.55452,cis 3 hexenyl acetate,0.007891375,0.434025625,0.072337604,0.130450848,0.016316875,0.897428125,0.149571354,0.269731217,0.139280369
MHG Cyl 10,MHG,Cyl,6,0.55452,9,0.83178,cis 3 hexenyl acetate,0.016891375,0.929025625,0.154837604,0.279228169,0.045428375,2.498560625,0.416426772,0.500645329,0.22141716
MHG Cyl 11,MHG,Cyl,7,0.64694,8,0.73936,cis 3 hexenyl acetate,0.019607875,1.078433125,0.179738855,0.277829249,0.058762375,3.231930625,0.538655105,0.728542395,0.450713146
MHG Cyl 12,MHG,Cyl,8,0.73936,8,0.73936,cis 3 hexenyl acetate,0.024935875,1.371473125,0.228578855,0.309157724,0.012247375,0.673605625,0.112267604,0.151844304,-0.15731342
MHG Cyl 13,MHG,Cyl,7,0.64694,11,1.01662,cis 3 hexenyl acetate,0.004255875,0.234073125,0.039012188,0.060302636,0.024789375,1.363415625,0.227235938,0.223521019,0.163218382
MHG Cyl 14,MHG,Cyl,7,0.64694,7,0.64694,cis 3 hexenyl acetate,0.040242375,2.213330625,0.368888438,0.570205024,0.027547875,1.515133125,0.252522188,0.390333243,-0.179871781
MHG Cyl 15,MHG,Cyl,8,0.73936,7,0.64694,cis 3 hexenyl acetate,0.031993875,1.759663125,0.293277188,0.396663585,0.041244875,2.268468125,0.378078022,0.584409716,0.187746131
MHG Cyl 19,MHG,Cyl,6,0.55452,7,0.64694,cis 3 hexenyl acetate,0.006698875,0.368438125,0.061406354,0.110737853,0.019839875,1.091193125,0.181865521,0.28111652,0.170378667
MHG Cyl 7,MHG,Cyl,8,0.73936,8,0.73936,cis 3 hexenyl acetate,0.009853375,0.541935625,0.090322604,0.122163228,0.024103375,1.325685625,0.220947605,0.298836297,0.176673069
MHG Cyl 8,MHG,Cyl,6,0.55452,6,0.55452,cis 3 hexenyl acetate,0.007728875,0.425088125,0.070848021,0.127764591,0.001432375,0.078780625,0.013130104,0.023678324,-0.104086267
SC Cyl 10,SC,Cyl,6,0.79458,4,0.52972,cis 3 hexenyl acetate,0.006871375,0.377925625,0.062987604,0.07927157,0.012011375,0.660625625,0.110104271,0.207853717,0.128582147
SC Cyl 13,SC,Cyl,8,1.05944,6,0.79458,cis 3 hexenyl acetate,0.008177875,0.449783125,0.074963854,0.070757999,0.005516375,0.303400625,0.050566771,0.063639622,-0.007118377
SC Cyl 17,SC,Cyl,7,0.92701,9,1.19187,cis 3 hexenyl acetate,0.007474375,0.411090625,0.068515104,0.073909779,0.050874875,2.798118125,0.466353022,0.391278429,0.31736865
SC Cyl 18,SC,Cyl,6,0.79458,7,0.92701,cis 3 hexenyl acetate,0.016708375,0.918960625,0.153160104,0.192756053,0.029322875,1.612758125,0.268793021,0.289956981,0.097200929
SC Cyl 19,SC,Cyl,6,0.79458,7,0.92701,cis 3 hexenyl acetate,0.005699375,0.313465625,0.052244271,0.0657508,0.026669375,1.466815625,0.244469271,0.263718052,0.197967252
SC Cyl 2,SC,Cyl,6,0.79458,6,0.79458,cis 3 hexenyl acetate,0.004421875,0.243203125,0.040533854,0.05101293,0.014067875,0.773733125,0.128955521,0.162293943,0.111281012
SC Cyl 20,SC,Cyl,6,0.79458,6,0.79458,cis 3 hexenyl acetate,0.049948375,2.747160625,0.457860105,0.576229083,0.026413375,1.452735625,0.242122605,0.304717718,-0.271511365
SC Cyl 4,SC,Cyl,7,0.92701,8,1.05944,cis 3 hexenyl acetate,0.047037375,2.587055625,0.431175938,0.465125445,0.046268375,2.544760625,0.424126772,0.400331092,-0.064794353
SC Cyl 8,SC,Cyl,6,0.79458,8,1.05944,cis 3 hexenyl acetate,0.042304375,2.326740625,0.387790105,0.48804413,0.012689375,0.697915625,0.116319271,0.109793165,-0.378250965
SC Cyl 9,SC,Cyl,7,0.92701,9,1.19187,cis 3 hexenyl acetate,0.021514875,1.183318125,0.197219688,0.212748177,0.036987875,2.034333125,0.339055522,0.284473576,0.071725399
SC Ung 1,SC,Ung,7,0.60102,6,0.51516,cis 3 hexenyl acetate,0.015368375,0.845260625,0.140876771,0.234396145,0.035236875,1.938028125,0.323004688,0.626998773,0.392602628
SC Ung 10,SC,Ung,7,0.60102,8,0.68688,cis 3 hexenyl acetate,0.015541875,0.854803125,0.142467188,0.237042341,0.043997375,2.419855625,0.403309272,0.58716118,0.350118839
SC Ung 12,SC,Ung,6,0.51516,7,0.60102,cis 3 hexenyl acetate,0,0,0,0,0.060960375,3.352820625,0.558803439,0.929758475,0.929758475
SC Ung 15,SC,Ung,6,0.51516,7,0.60102,cis 3 hexenyl acetate,0.001756875,0.096628125,0.016104688,0.031261526,0.029365875,1.615123125,0.269187188,0.447883911,0.416622385
SC Ung 17,SC,Ung,8,0.68688,9,0.77274,cis 3 hexenyl acetate,0.013467875,0.740733125,0.123455521,0.179733754,0.032859375,1.807265625,0.301210938,0.38979597,0.210062216
SC Ung 19,SC,Ung,7,0.60102,6,0.51516,cis 3 hexenyl acetate,0,0,0,0,0.019180875,1.054948125,0.175824688,0.341301126,0.341301126
SC Ung 2,SC,Ung,6,0.51516,7,0.60102,cis 3 hexenyl acetate,0.017821375,0.980175625,0.163362604,0.317110421,0.012108375,0.665960625,0.110993438,0.184675115,-0.132435306
SC Ung 20,SC,Ung,8,0.68688,8,0.68688,cis 3 hexenyl acetate,0.007204375,0.396240625,0.066040104,0.096145039,0.034798875,1.913938125,0.318989688,0.464403809,0.36825877
SC Ung 5,SC,Ung,7,0.60102,7,0.60102,cis 3 hexenyl acetate,0.080229875,4.412643125,0.735440522,1.223653992,0.026751875,1.471353125,0.245225521,0.408015576,-0.815638416
SC Ung 9,SC,Ung,7,0.60102,8,0.68688,cis 3 hexenyl acetate,0.019956875,1.097628125,0.182938021,0.304379257,0.043321875,2.382703125,0.397117188,0.578146384,0.273767127
