Order,Run.Num,Run.Date,Run.Plant,Flower number,Avg mass,Total.mass,Site.Type,Site,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha terpinene,er.alpha terpinolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexenyl acetate,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma terpinene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.unknown C15H24.3,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown C15H24.2,er.veratrole,er.verbenone
195,281,24-Jan,2,9,0.08984,0.80856,Two,DVT,Ung,30,0,0,0,0,0,0,0.000463994,0,0.004806466,0,0,0,0.000730628,0,0,0,0,0,0.000988722,0,0,0,0,0.012046376,0.221571977,0,0.000946198,0,0,0,0,0.001577512,0,0,0,0,0.000500141,0.006802978,0,0,0,0,0,0,0.004334388,0.003214452,0.007580736,0,0,0,0.001970214,0,0,0
196,26,14-Nov,13,7,0.09239,0.64673,Two,NP,Ung,2,0.007363986,0.000706414,0,0,0,0,0,0,0,0,0,0,0,0.001757977,0,0,0,0,0.000344601,0,0,0,0,0.007178455,0.071904017,0.010288591,0,0,0,0.00072232,0,0.003529314,0,0,0,0.003660211,0,0,0,0,0,0,0,0,0,0.001056425,0.236628988,0,0,0,0,0,0,0
197,27,14-Nov,14,7,0.09239,0.64673,Two,NP,Ung,7,0,0,0,0,0,0,0,0,0.004572133,0,0,0,0,0.001130242,0,0,0,0,0.001254067,0,0,0,0,0,0.043579519,0.008567655,0,0,0,0.001902906,0.000546118,0.003019859,0,0,0,0,0,0,0.000125629,0,0,0,0,0,0,0.004026159,0.196076937,0,0,0,0,0,0,0
198,28,14-Nov,15,6,0.09239,0.55434,Two,NP,Ung,12,0,0,0,0,0,0,0,0,0.031378084,0,0,0,0,0.003052218,0,0,0,0.013480954,0.004119637,0.002759336,0,0,0,0,0.005037393,0.006836584,0,0,0,0.008078416,0,0,0,0,0,0.004624904,0,0,0,0,0,0.001501391,0.003218713,0,0,0.007074327,0.154592485,0,0,0,0,0,0,0
199,59,17-Nov,11,7,0.09239,0.64673,Two,NP,Ung,4,0.009282327,0.000599065,0,0,0,0,0,0,0,0,0,0,0,0.001039974,0,0,0,0.001167255,0,0,0,0,0,0,0.049310019,0.009035146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099148852,0,0.150304548,0,0,0,0,0,0,0
200,65,17-Nov,18,7,0.09239,0.64673,Two,NP,Ung,13,0.007501263,0.000742598,0,0,0.028692953,0,0,0,0.021331752,0.003328159,0,0,0,0.002913271,0,0,0,0.015423534,0.00301243,0.001942845,0,0,0,0,0.215494757,0.006270651,0,0,0,0.009263727,0,0,0,0.020687482,0,0.005366954,0,0,0,0,0,0.000843068,0.00147554,0.003710474,0.061882467,0.011946956,0.183346278,0,0,0,0,0,0,0
201,66,17-Nov,19,7,0.09239,0.64673,Two,NP,Ung,9,0.005246683,0,0,0,0,0,0,0,0,0,0,0,0,0.001302559,0,0,0,0,0,0,0,0,0,0,0.058464477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094361048,0.000987072,0,0,0,0,0,0,0,0
202,78,18-Nov,9,6,0.09239,0.55434,Two,NP,Ung,10,0,0.001251429,0,0,0,0,0,0,0.00E+00,0.003495346,0,0,0,0,0,0,0,0.003458388,0,0,0,0,0,0,0.355842853,0.011206472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144657,0.374960241,0,0,0,0,0,0,0
203,129,30-Nov,19,8,0.09239,0.73912,Two,NP,Ung,11,0.007662264,0.001239952,0,0,0.021518201,0,0,0.002556597,0,0.000387093,0.019314285,0,0.00E+00,0.002524852,0.000955861,0.005772378,0.003633212,0.006679447,0.089209553,8.48E-05,0,0,0,0,0.054106127,0.020710376,0,0,0.010497958,0,0,0.002071846,0,0.024423895,0.002533476,0.006267731,0,0,0,0,0,0,0,0,0,0.015528301,0.555668723,0,0,0,0,0,0,0
204,168,15-Dec,3,7,0.09239,0.64673,Two,NP,Ung,24,0,0.001213226,0,0.002267539,0,0,0,0,0,0,0.001178217,0,0.00E+00,0,0,0,0,0.001273585,0,0,0.001957528,0,0,0.028217131,0.738145341,0.028250428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002557638,0.380502611,0,0,0,0,0,0,0
205,172,19-Dec,4,6,0.09239,0.55434,Two,NP,Ung,21,0,0.002093965,0,0,0,0,0,0.001612503,0,0,0,0,0,0,0,0,0.002996574,0.004686656,0,0,0,0,0,0,0.075879969,0.016635573,0,0,0.003381911,0,0,0.005272243,0,0,0,0.01964178,0,0,0,0,0,0.000223223,0,0,0.020478056,0.004631412,0.467438882,0,0,0,0,0,0,0
206,205,13-Jan,12,6,0.09239,0.55434,Two,NP,Ung,36,0.005596645,0.001904504,0,8.50E-05,0.014994971,0,0,0,0,0,0,0,0,0,0,0,0,0.002061892,0.000510985,0,0.000712029,0,0,0,0.190081085,0.016870411,0,0,0,0,0,0,0,0.001143784,0,0.000634474,0,0,0,0,0,0,0,0,0,0,0.258095764,0,0,0,0,0,0,0
207,226,14-Jan,16,6,0.09239,0.55434,Two,NP,Ung,31,0.002646343,0.000437577,0,0.003154032,0.005162789,0.001004799,0,0.001012244,0,0,0,0,0,0,0,0,0.000596465,0.002989818,0,0,0.003311593,0,0,0,0.307538384,0.037644428,0,0,0.001192148,0,0,0.001642729,0,0,0,0.00318685,0,0,0.00024647,0,0,0,0,0,0,0.011939938,0.583142449,0,0,0,0,0,0,0
208,249,20-Jan,4,7,0.09239,0.64673,Two,NP,Ung,32,0,0.004135498,0,0.008377717,0.013831044,0.010451291,0,0.002725543,0,0.014165461,0,0,0,0,0,0,0.006551894,0.013512962,0,0,0.015944245,0,0,0,0.088342559,0.094298231,0,0,0.014311149,0.001564406,0,0.007323876,0.001659861,0.006773284,0.006981292,0.009498315,0,0.013032734,0.002015025,0,0,0.000283704,0,0,0,0.02973625,2.068736763,0,0,0,0,0.00210272,0,0
209,304,2-Feb,2,7,0.09239,0.64673,Two,NP,Ung,41,0.005449188,0.002076748,0,0,0.004036605,0.001601565,0,0,0.01091083,0,0.001616645,0,0,0,0,0,0,0.003541115,0.001718365,0.001001464,0.000650444,0,0,0,0.080715763,0.008960395,0,0,0,0.003768826,0,0,0,0,0,0.002046379,0,0,0,0,0,0,0,0,0,0.005294839,0.173344305,0,0,0,0,0,0,0
210,309,5-Feb,3,6,0.09239,0.55434,Two,NP,Ung,40,0.010493569,0.00198143,0,0.002214481,0.007687865,0,0.000523285,0,0,0,0,0,0,0,0,0.001829992,0.00080612,0.002728083,0,0,0.006314148,0,0,0.013530404,0.228272923,0.025236536,0,0,0,0,0,0,0,0.005141406,0,0,0,0.007149913,0,0,0,0,0,0,0,0.004804211,0.48527616,0,0,0,0,0,0,0
211,10,13-Nov,14,6,0.08586,0.51516,Two,SC,Ung,11,0,0,0,0,0,0,0,0.005546727,0,0,0,0,0.000901231,0,0,0.006251656,0.003384147,0,0,0,0.00465806,0,0,0.016969469,0.444578953,0.047889562,0,0,0.00970581,0,0,0.016274028,0,0,0,0.006680515,0,0,0.00166126,0,0,0,0,0,0,0,0.96773659,0,0,0.0040849,0.001392181,0,0,0
212,16,14-Nov,2,6,0.08586,0.51516,Two,SC,Ung,2,0,0.001665823,0,0,0,0,0,0.002397145,0.000773031,0,0,0,0,0.002145584,0,0,0,0,0.001041907,0,0,0,0,0,0.026435091,0.019851167,0,0,0.002744598,0,0,0.002198149,0,0,0,0.002720606,0,0,0,0,0,0,0,0,0,0,0.594190358,0,0,0,0,0,0,0
213,30,14-Nov,18,6,0.08586,0.51516,Two,SC,Ung,5,0,0.001122245,0,0,0,0,0,0,0,0,0,0,0,0.003161452,0,0,0,0,0.001707259,0,0.000468853,0,0,0.033254273,0.629371677,0.026647664,0,0,0,0,0,0.000417908,0,0,0,0.001179058,0,0,0,0,0,0,0,0,0,0,0.732998412,0,0,0,0,0,0,0
214,49,15-Nov,22,8,0.08586,0.68688,Two,SC,Ung,9,0.002551697,0,0,0,0,0,0.000995033,0,0.002868508,0,0,0,0.000330822,0.001245098,0,0,0,0,0,0.000348673,0.001047003,0,0,0.004628192,0.143377716,0.011311482,0,0,0,0,0,0.001264897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24911808,0,0,0,0.000983745,0,0,0
